"soe","total_arrivals","total_arrivals_male","total_arrivals_female","total_population"
"Johor",4016616,2241618,1774998,162811400
"Kedah",317320,181187,136133,86822500
"Kelantan",143632,75984,67648,73470200
"Melaka",14899,6915,7984,40692000
"Negeri Sembilan",16323,10562,5761,48613900
"Pahang",2126,1133,993,64948300
"Perak",53339,25308,28031,101096900
"Perlis",189631,120461,69170,11618500
"Pulau Pinang",233085,105968,127117,70353900
"Sabah",170047,76472,93575,140684500
"Sarawak",459111,253774,205337,99306400
"Selangor",2220705,1244147,976558,285061100
"Terengganu",28,28,0,47591200
"W.P. Labuan",7002,4615,2387,3898900
